Sample	OTU1	OTU2	OTU3	OTU4	OTU5	OTU6	OTU7	OTU8	OTU9	OTU10	OTU11	OTU12	OTU13	OTU14	OTU15	OTU16	OTU17	OTU19	OTU20
TIC2021_043	0.1748437	53.22931016	1.769630179	0.034438911	0.050333793	0.558970012	0.283458726	1.520610363	2.845183851	0	0.378828017	0.045035499	0.013245735	4.437321183	0.007947441	0.063579527	0.002649147	0.06093038	0.010596588
TIC2022_001	0.006864517	40.47548223	17.11095348	0	0.700180766	2.546735922	0.757385077	6.683751688	3.484886621	0	0.789419491	0.164748415	0	0.00915269	0	1.178408805	0.002288172	5.70899023	0.002288172
TIC2022_003	0.077279753	48.3127254	8.562310378	0.002862213	0.685500029	6.249642223	0.24328811	3.20997195	4.183124392	0	1.708741199	0.057244261	0	0.002862213	0	1.408208827	0	0.028622131	0
TIC2022_004	0.011753298	49.01713043	2.406487821	0.002938325	0.993153704	3.249786971	1.178268152	6.082331854	4.298768842	0	1.422149091	0.07051979	0	0.014691623	0	4.480944965	0	0	0
TIC2022_005	0	47.57684852	17.95901412	0	0.200775408	2.222376073	0.69579064	4.652450845	4.067432844	0	0.138465799	0.038078095	0	0.263085018	0.003461645	2.329687067	0	0.00692329	0
TIC2022_008	0.006675345	36.7477721	27.96635626	0	0.637495411	2.366409666	0.170221288	6.024498515	3.060645506	0	0.123493875	0.076766463	0	0	0	4.185441073	0	0.040052068	0
TIC2022_009	0.009858822	47.34008991	19.71172805	0	0.463364619	0.554065778	0.193232905	7.031311618	3.97113337	0	0.274075243	0.053237637	0	0.011830586	0	1.344743276	0	0.134079975	0
TIC2022_021	0.421254314	42.36821039	25.29494364	0.028871012	0.129919555	3.364785239	0.351701421	5.759766932	2.926470781	0	0.585294156	0.015747825	0	0.005249275	0.003936956	4.712536581	0	0.015747825	0
TIC2022_063	0.011899096	36.04712042	14.86910995	0.002379819	0.042836744	1.742027606	3.207996192	12.16801523	2.553545931	0	0.099952404	0.047596383	0	0.014278915	0	2.33460257	0.019038553	0	0
TIC2022_070	0	34.55882353	29.3236826	0	0.153186275	1.328890931	0.298713235	1.727175245	2.719056373	0	0.07276348	0.111060049	0	0	0.003829657	1.405484069	0.015318627	0	0
TIC2015_201	0.11468377	39.16663127	0.012742641	0.067960753	0.169901882	16.23837234	5.058828527	1.376205241	4.523637599	0.008495094	0.046723017	0.191139617	0.008495094	0	0.004247547	0.998173555	0.063713206	0.029732829	0
TIC2015_202	0.102790015	39.10792952	0.01835536	0.003671072	0.543318649	16.18942731	2.408223201	3.527900147	2.485315712	0	0.01835536	0.220264317	0.003671072	0.011013216	0.003671072	0.862701909	0.062408223	4.335535977	0
TIC2015_204	0.294279016	56.47164447	0.079804479	0.074816699	1.032470447	5.980348147	3.137313582	0.418973515	3.730859394	0	0.079804479	0.124694498	0.049877799	0.03990224	0.01995112	0.413985735	0.01995112	2.862985685	0.0249389
TIC2017_026	0.038494604	55.76841646	0.001283153	0.011548381	0.622329437	0.001283153	0.005132614	3.912334954	6.261788973	0	2.688206536	0.002566307	0.008982074	0.001283153	4.724571106	0.041060911	0.00384946	0	0
TIC2017_028	0.053065647	62.58429699	5.075507993	0.01547748	0.35708758	1.285736396	0.31065514	0.494173834	5.068874787	0	1.645035045	0.021005152	0.00773874	0.002211069	1.209454529	2.047449532	0.002211069	0.002211069	0.002211069
TIC2017_030	0.042111299	68.19073731	0.895985091	0.013439776	0.305530916	1.802722003	0.046591225	1.903072333	6.202008799	0	1.096685751	0.013439776	0.00179197	0.00179197	1.53303049	1.918304079	0.00179197	0.00179197	0
TIC2017_034	0.033408249	66.5249347	1.394035109	0.018222681	0.16400413	0.912652615	0.388750531	1.135880459	7.999757031	0.001518557	0.67120209	0.010629897	0.009111341	0.00455567	2.472210411	2.321873292	0.001518557	0.001518557	0.00455567
TIC2019_013	0.002659999	53.78517849	0	0	0.007979997	4.540618184	1.643879342	0.188859924	5.471617811	0	1.117199553	0.010639996	0	0.002659999	0.111719955	0.021279991	0.002659999	1.877959249	0
TIC2015_027	68.08628978	0.218505423	0.059592388	3.241825911	0.293989114	0.305907592	0.019864129	0.071510866	0.027809781	0	1.350760796	0.003972826	0.015891303	5.228238846	0.091374995	0	0.007945652	0	0.011918478
TIC2015_205	28.00071917	0.1869831	13.77921611	8.525710176	0.053937433	0.715569939	5.005393743	13.49514563	0.007191658	0	0.053937433	1.718806185	4.063286588	0.266091334	0.025170802	0.409924488	0.021574973	0.053937433	1.9201726
TIC2015_206	32.36429619	0.092656938	10.20384526	12.67855764	0.312717165	0.49803104	3.076982472	1.497953826	0.019303529	0.011582117	0.042467763	4.991892518	2.273955679	0	0.050189175	0.065631998	0.061771292	3.354953285	2.61755849
TIC2015_217	48.44384303	0.009332276	3.410946759	18.70188045	0.083990481	0.041995241	0.732583641	0.102655032	0.004666138	0.023330689	0.205310065	5.268069619	3.070318697	0.004666138	0	0.41062013	0	0.891232327	3.368951519
TIC2015_218	41.07678794	0.084181246	7.213966767	21.45157748	0.13176195	0.058560867	0.505087475	0.501427421	0.040260596	0.018300271	0.355025254	1.771466218	3.886977527	5.248517678	0.054900813	0.003660054	0	0.025620379	4.490886465
TIC2015_219	32.62165059	0.008574491	1.680600214	5.076098607	0.0471597	0.261521972	2.979635584	0.72454448	0	0	0.184351554	18.02357985	2.911039657	0.025723473	0.004287245	0.368703108	0.0943194	0.351554126	0.883172562
